fire_name,city,start_date,end_date,acres_burned
 Bridge Fire,Shasta Lake,2017-10-31,2018-01-09,37
Campbell Fire,Forest Ranch,2014-01-02,2014-01-10,865
Colby Fire,Glendora,2014-01-16,2014-01-27,1952
Red Fire,Willow Creek,2014-01-04,2014-01-08,333
Lake Fire,Squaw Valley,2014-01-25,2014-01-26,106
Gun Fire,Pine Valley,2014-03-08,2014-03-11,125
Encinal Fire,Chualar,2014-03-19,2014-03-21,400
Van Buren Fire,Vista Santa Rosa,2014-03-28,2014-03-29,57
Bridges Fire,Bishop,2014-04-19,2014-04-21,113
Etiwanda Fire,Rancho Cucamonga,2014-04-30,2014-05-05,2143
Bernardo Fire,Rancho Penasquitos,2014-05-13,2014-05-17,1548
San Lucas Fire,King City,2014-04-30,2014-05-01,75
Miguelito Fire,Lompoc,2014-05-13,2014-05-19,632
Tomahawk Fire,Fallbrook,2014-05-14,2014-05-19,5367
San Mateo Fire,San Clemente,2014-05-16,2014-05-20,1457
Highway Fire,Bonsall,2014-05-14,2014-05-15,380
Fiddler Fire,Shasta,2014-05-14,2014-05-15,50
Cocos Fire,San Marcos,2014-05-14,2014-05-22,1995
Poinsettia Fire,Lake San Marcos,2014-05-14,2014-05-17,600
Indian Fire,Clearlake Oaks,2014-05-25,2014-05-26,175
59 Fire,Jamestown,2014-06-04,2014-06-05,402
Hetch Hetchy Fire,Jamestown,2014-06-05,2014-06-06,269
Hall Fire,Squaw Valley,2014-06-11,2014-06-09,25
Morgan Fire,Auberry,2014-06-09,2014-06-11,40
Haigh Fire,Tuolumne City,2014-06-10,2014-06-13,130
Shirley Fire,Alta Sierra,2014-06-13,2014-06-20,3895
Tehama Fire,Rancho Tehama Reserve,2014-06-13,2014-06-13,225
Oak Fire,Copperopolis,2014-06-22,2014-06-24,85
Butts Fire,Angwin,2014-07-01,2014-07-09,4300
Bible Fire,Somerset,2014-07-09,2014-07-09,30
Bully Fire,Lewiston,2014-07-11,2014-07-26,12661
Monticello Fire,Winters,2014-07-04,2014-07-12,6488
Gulch Fire,Alturas,2014-07-03,2014-07-07,1469
Modoc Lightning Complex,Alturas,2014-07-01,2014-07-03,1651
West Fire,Hayfork,2014-07-01,2014-07-03,15
Banner Fire,Julian,2014-07-03,2014-07-06,217
Marsh Fire,Tracy,2014-07-11,2014-07-12,80
Cassel Fire,Chester,2014-07-05,2014-07-08,75
Interlake Fire,Lake Nacimiento,2014-07-07,2014-07-08,47
Hutto Fire,Penn Valley,2014-07-07,2014-07-08,38
Dry Fire,Bella Vista,2014-07-09,2014-07-10,143
Nicolls Fire ,Weldon,2014-07-11,2014-07-21,1680
Wildlife Fire,Thermalito,2014-07-14,2014-07-16,72
Sand Fire,Deer Park,2014-07-25,2014-08-02,4240
Bald Fire,Burney,2014-07-30,2014-08-15,39736
Day Fire,Burney,2014-07-30,2014-08-13,13153
Oregon Gulch Fire (part of the Beaver Complex),Montague,2014-07-30,2014-08-18,35302
Eiler Fire,Burney,2014-07-31,2014-08-25,32416
Coffee Fire,Weaverville,2014-07-30,2014-11-14,6258
Little Deer Fire,Weed,2014-07-31,2014-08-18,5503
Junction Fire,Oakhurst,2014-08-18,2014-08-25,612
Little Fire,Alturas,2014-08-12,2014-08-13,101
Shoemaker Fire,San Dimas,2014-08-14,2014-12-12,190
Tecolote Fire,Glendora,2014-08-17,2014-12-12,274
Boca Fire,Truckee,2014-08-18,2014-08-19,84
Way Fire,Wofford Heights,2014-08-18,2014-08-27,4045
Oregon Fire,Weaverville,2014-08-24,2014-08-28,461
Gulch Fire,Bella Vista,2014-09-10,2014-09-16,1375
Jackson Fire,Jamestown,2014-09-04,2014-09-05,70
Bald Hill 3 Fire,Willow Creek,2014-09-12,2014-09-15,210
Stage Coach Fire,Angwin,2014-09-11,2014-09-15,27
King Fire,Pollock Pines,2014-09-13,2014-10-09,97717
Stephens Fire,McCloud,2015-02-24,2015-03-02,200
Silverado Fire,Portola Hills,2014-09-12,2014-09-22,968
Dog Bar Fire,Colfax,2014-09-13,2014-09-18,247
Courtney Fire,Oakhurst,2014-09-14,2014-09-22,320
Boles Fire,Weed,2014-09-15,2014-10-11,516
Bane Fire,Los Serranos,2014-10-16,2014-10-17,48
Irene Fire,South Lake Tahoe,2014-09-14,2014-09-17,94
Cascade Fire,South Lake Tahoe,2014-09-25,2014-09-25,20
Otay Fire,La Presa,2015-06-26,2015-06-26,80
Ward Fire,East Quincy,2015-04-13,2015-04-18,137
Highway Fire,Corona,2015-04-18,2015-04-24,1049
Forebay Fire,Gustine,2015-05-11,2015-05-11,692
Bald Fire,Willow Creek,2015-06-10,2015-06-11,20
Saddle Fire ,Weaverville,2015-06-10,2015-06-29,1542
Pass Fire,Shandon,2015-06-15,2015-06-15,67
